order_id,order_status,order_purchase_timestamp,order_delivered_timestamp,order_estimated_delivery_date,delivery_delay_days,shipping_time_days,shipping_carrier,return_status
10046,delivered,2024-04-07 12:29:00,2024-04-10 12:29:00,2024-04-10 12:29:00,0.0,3.0,In-House,Not Returned
10047,delivered,2024-01-30 14:12:00,2024-01-31 14:12:00,2024-02-02 14:12:00,0.0,1.0,In-House,Not Returned
10048,delivered,2024-01-30 12:06:00,2024-02-05 12:06:00,2024-02-07 12:06:00,0.0,6.0,In-House,Not Returned
10049,delivered,2024-12-11 14:12:00,2024-12-19 14:12:00,2024-12-20 14:12:00,0.0,8.0,In-House,Not Returned
10050,delivered,2024-11-13 19:04:00,2024-11-21 19:04:00,2024-11-22 19:04:00,0.0,8.0,In-House,Not Returned
10051,delivered,2024-05-13 11:24:00,2024-05-24 11:24:00,2024-05-23 11:24:00,1.0,11.0,In-House,Returned
10052,delivered,2024-07-21 12:24:00,2024-07-26 12:24:00,2024-07-26 12:24:00,0.0,5.0,In-House,Not Returned
10053,delivered,2024-02-07 11:00:00,2024-02-13 11:00:00,2024-02-11 11:00:00,2.0,6.0,In-House,Not Returned
10054,delivered,2024-10-02 15:39:00,2024-10-10 15:39:00,2024-10-07 15:39:00,3.0,8.0,In-House,Not Returned
10055,cancelled,2024-05-05 10:41:00,,2024-05-15 10:41:00,,,In-House,
10056,delivered,2024-12-07 17:24:00,2024-12-15 17:24:00,2024-12-14 17:24:00,1.0,8.0,In-House,Not Returned
10057,delivered,2024-05-15 09:19:00,2024-05-23 09:19:00,2024-05-23 09:19:00,0.0,8.0,UPS,Returned
10058,delivered,2024-05-24 19:02:00,2024-06-01 19:02:00,2024-05-31 19:02:00,1.0,8.0,UPS,Returned
10059,delivered,2024-09-15 10:25:00,2024-09-25 10:25:00,2024-09-24 10:25:00,1.0,10.0,In-House,Not Returned
10060,delivered,2024-05-21 16:29:00,2024-05-27 16:29:00,2024-05-30 16:29:00,0.0,6.0,In-House,Not Returned
10061,delivered,2024-03-23 08:36:00,2024-03-29 08:36:00,2024-04-01 08:36:00,0.0,6.0,In-House,Not Returned
10062,delivered,2024-02-27 10:39:00,2024-03-05 10:39:00,2024-03-03 10:39:00,2.0,7.0,In-House,Not Returned
10063,delivered,2024-07-08 16:38:00,2024-07-19 16:38:00,2024-07-16 16:38:00,3.0,11.0,In-House,Not Returned
10064,delivered,2024-06-06 08:12:00,2024-06-11 08:12:00,2024-06-12 08:12:00,0.0,5.0,FedEx,Not Returned
10065,delivered,2024-04-17 19:53:00,2024-04-18 19:53:00,2024-04-21 19:53:00,0.0,1.0,In-House,Not Returned
10066,delivered,2024-11-13 11:01:00,2024-11-16 11:01:00,2024-11-18 11:01:00,0.0,3.0,In-House,Not Returned
10067,delivered,2024-07-30 13:40:00,2024-08-09 13:40:00,2024-08-07 13:40:00,2.0,10.0,In-House,Not Returned
10068,delivered,2024-05-16 18:08:00,2024-05-18 18:08:00,2024-05-21 18:08:00,0.0,2.0,In-House,Not Returned
10069,delivered,2024-08-28 08:50:00,2024-09-07 08:50:00,2024-09-05 08:50:00,2.0,10.0,In-House,Not Returned
10070,delivered,2024-04-26 17:34:00,2024-05-01 17:34:00,2024-05-04 17:34:00,0.0,5.0,In-House,Not Returned
10071,delivered,2024-05-22 11:40:00,2024-06-04 11:40:00,2024-06-01 11:40:00,3.0,13.0,In-House,Not Returned
10072,delivered,2024-12-13 11:34:00,2024-12-24 11:34:00,2024-12-23 11:34:00,1.0,11.0,In-House,Not Returned
10073,cancelled,2024-04-01 15:24:00,,2024-04-06 15:24:00,,,In-House,
10074,delivered,2024-11-01 08:40:00,2024-11-06 08:40:00,2024-11-08 08:40:00,0.0,5.0,In-House,Not Returned
10075,delivered,2024-11-06 20:55:00,2024-11-14 20:55:00,2024-11-15 20:55:00,0.0,8.0,In-House,Not Returned
10076,delivered,2024-01-23 12:50:00,2024-01-31 12:50:00,2024-01-31 12:50:00,0.0,8.0,In-House,Not Returned
10077,delivered,2024-08-08 14:09:00,2024-08-18 14:09:00,2024-08-17 14:09:00,1.0,10.0,In-House,Not Returned
10078,delivered,2024-06-02 16:40:00,2024-06-07 16:40:00,2024-06-06 16:40:00,1.0,5.0,In-House,Not Returned
10079,delivered,2024-12-22 08:11:00,2024-12-23 08:11:00,2024-12-26 08:11:00,0.0,1.0,In-House,Not Returned
10080,delivered,2024-12-12 16:17:00,2024-12-19 16:17:00,2024-12-18 16:17:00,1.0,7.0,In-House,Not Returned
10081,delivered,2024-10-07 09:37:00,2024-10-14 09:37:00,2024-10-11 09:37:00,3.0,7.0,In-House,Returned
10082,delivered,2024-08-26 18:28:00,2024-08-30 18:28:00,2024-09-01 18:28:00,0.0,4.0,In-House,Not Returned
10083,delivered,2024-03-27 08:29:00,2024-04-04 08:29:00,2024-04-03 08:29:00,1.0,8.0,In-House,Returned
10084,delivered,2024-04-30 12:18:00,2024-05-05 12:18:00,2024-05-05 12:18:00,0.0,5.0,In-House,Not Returned
10085,delivered,2024-01-13 10:36:00,2024-01-14 10:36:00,2024-01-16 10:36:00,0.0,1.0,In-House,Not Returned
10086,delivered,2024-07-31 18:16:00,2024-08-07 18:16:00,2024-08-04 18:16:00,3.0,7.0,In-House,Not Returned
10087,delivered,2024-07-23 14:37:00,2024-08-04 14:37:00,2024-08-01 14:37:00,3.0,12.0,In-House,Not Returned
10088,delivered,2024-08-05 16:47:00,2024-08-16 16:47:00,2024-08-13 16:47:00,3.0,11.0,In-House,Not Returned
10089,delivered,2024-01-26 18:27:00,2024-02-02 18:27:00,2024-02-01 18:27:00,1.0,7.0,In-House,Not Returned
10090,delivered,2024-08-25 19:20:00,2024-08-29 19:20:00,2024-09-01 19:20:00,0.0,4.0,In-House,Not Returned
10091,delivered,2024-11-09 10:11:00,2024-11-18 10:11:00,2024-11-17 10:11:00,1.0,9.0,In-House,Not Returned
10092,delivered,2024-08-31 10:23:00,2024-09-07 10:23:00,2024-09-06 10:23:00,1.0,7.0,In-House,Not Returned
10093,delivered,2024-11-16 11:20:00,2024-11-23 11:20:00,2024-11-20 11:20:00,3.0,7.0,In-House,Not Returned
10094,delivered,2024-05-19 20:17:00,2024-05-31 20:17:00,2024-05-28 20:17:00,3.0,12.0,In-House,Not Returned
10095,delivered,2024-03-18 09:52:00,2024-03-24 09:52:00,2024-03-21 09:52:00,3.0,6.0,In-House,Not Returned
10096,delivered,2024-07-31 10:53:00,2024-08-03 10:53:00,2024-08-04 10:53:00,0.0,3.0,In-House,Not Returned
10097,delivered,2024-04-15 18:55:00,2024-04-22 18:55:00,2024-04-19 18:55:00,3.0,7.0,In-House,Not Returned
10098,delivered,2024-09-01 09:58:00,2024-09-01 09:58:00,2024-09-04 09:58:00,0.0,0.0,In-House,Not Returned
10099,delivered,2024-10-02 11:49:00,2024-10-07 11:49:00,2024-10-08 11:49:00,0.0,5.0,In-House,Not Returned
10100,delivered,2024-04-22 14:32:00,2024-04-22 14:32:00,2024-04-25 14:32:00,0.0,0.0,FedEx,Not Returned
10101,delivered,2024-12-08 16:07:00,2024-12-13 16:07:00,2024-12-14 16:07:00,0.0,5.0,In-House,Not Returned
10102,delivered,2024-03-06 14:31:00,2024-03-12 14:31:00,2024-03-15 14:31:00,0.0,6.0,In-House,Not Returned
10103,delivered,2024-11-25 16:37:00,2024-12-05 16:37:00,2024-12-02 16:37:00,3.0,10.0,In-House,Not Returned
10104,cancelled,2024-05-13 20:29:00,,2024-05-17 20:29:00,,,In-House,
10105,cancelled,2024-07-13 11:54:00,,2024-07-19 11:54:00,,,In-House,
10106,delivered,2024-08-28 18:57:00,2024-08-30 18:57:00,2024-08-31 18:57:00,0.0,2.0,In-House,Returned
10107,delivered,2024-11-28 20:47:00,2024-12-06 20:47:00,2024-12-08 20:47:00,0.0,8.0,UPS,Returned
10108,delivered,2024-05-06 16:01:00,2024-05-08 16:01:00,2024-05-11 16:01:00,0.0,2.0,In-House,Not Returned
10109,delivered,2024-03-05 19:19:00,2024-03-09 19:19:00,2024-03-10 19:19:00,0.0,4.0,In-House,Not Returned
10110,delivered,2024-12-24 19:19:00,2024-12-26 19:19:00,2024-12-27 19:19:00,0.0,2.0,In-House,Not Returned
10111,delivered,2024-06-08 17:29:00,2024-06-13 17:29:00,2024-06-15 17:29:00,0.0,5.0,In-House,Not Returned
10112,delivered,2024-04-11 11:19:00,2024-04-17 11:19:00,2024-04-14 11:19:00,3.0,6.0,In-House,Not Returned
10113,delivered,2024-12-22 15:26:00,2024-12-26 15:26:00,2024-12-28 15:26:00,0.0,4.0,In-House,Not Returned
10114,delivered,2024-06-26 12:06:00,2024-07-02 12:06:00,2024-06-30 12:06:00,2.0,6.0,In-House,Not Returned
10115,delivered,2024-01-07 11:01:00,2024-01-19 11:01:00,2024-01-16 11:01:00,3.0,12.0,In-House,Not Returned
10116,delivered,2024-11-21 14:44:00,2024-12-02 14:44:00,2024-11-30 14:44:00,2.0,11.0,In-House,Not Returned
10117,delivered,2024-11-11 12:54:00,2024-11-19 12:54:00,2024-11-16 12:54:00,3.0,8.0,In-House,Not Returned
10118,delivered,2024-06-14 17:33:00,2024-06-24 17:33:00,2024-06-21 17:33:00,3.0,10.0,In-House,Not Returned
10119,delivered,2024-05-04 09:32:00,2024-05-14 09:32:00,2024-05-13 09:32:00,1.0,10.0,In-House,Not Returned
10120,delivered,2024-01-15 20:17:00,2024-01-19 20:17:00,2024-01-22 20:17:00,0.0,4.0,In-House,Not Returned
10121,delivered,2024-06-30 12:31:00,2024-07-02 12:31:00,2024-07-05 12:31:00,0.0,2.0,In-House,Not Returned
10122,delivered,2024-09-21 14:54:00,2024-09-28 14:54:00,2024-09-30 14:54:00,0.0,7.0,UPS,Not Returned
10123,delivered,2024-10-11 09:26:00,2024-10-19 09:26:00,2024-10-18 09:26:00,1.0,8.0,In-House,Not Returned
10124,delivered,2024-01-09 09:30:00,2024-01-17 09:30:00,2024-01-14 09:30:00,3.0,8.0,In-House,Not Returned
10125,delivered,2024-12-05 08:04:00,2024-12-14 08:04:00,2024-12-14 08:04:00,0.0,9.0,In-House,Returned
10126,delivered,2024-08-05 14:15:00,2024-08-07 14:15:00,2024-08-10 14:15:00,0.0,2.0,In-House,Not Returned
10127,delivered,2024-06-05 20:35:00,2024-06-14 20:35:00,2024-06-13 20:35:00,1.0,9.0,In-House,Returned
10128,delivered,2024-03-02 20:41:00,2024-03-09 20:41:00,2024-03-09 20:41:00,0.0,7.0,In-House,Not Returned
10129,delivered,2024-04-20 13:44:00,2024-04-28 13:44:00,2024-04-25 13:44:00,3.0,8.0,In-House,Not Returned
10130,delivered,2024-02-21 13:24:00,2024-02-25 13:24:00,2024-02-28 13:24:00,0.0,4.0,In-House,Not Returned
10131,delivered,2024-01-08 14:26:00,2024-01-16 14:26:00,2024-01-16 14:26:00,0.0,8.0,In-House,Not Returned
10132,delivered,2024-10-10 09:52:00,2024-10-13 09:52:00,2024-10-13 09:52:00,0.0,3.0,In-House,Not Returned
10133,delivered,2024-01-07 18:01:00,2024-01-16 18:01:00,2024-01-13 18:01:00,3.0,9.0,In-House,Not Returned
10134,delivered,2024-04-04 18:37:00,2024-04-11 18:37:00,2024-04-13 18:37:00,0.0,7.0,In-House,Not Returned
10135,delivered,2024-07-24 10:22:00,2024-07-27 10:22:00,2024-07-28 10:22:00,0.0,3.0,In-House,Not Returned
10136,delivered,2024-03-17 11:12:00,2024-03-25 11:12:00,2024-03-24 11:12:00,1.0,8.0,In-House,Not Returned
10137,delivered,2024-10-12 09:32:00,2024-10-21 09:32:00,2024-10-18 09:32:00,3.0,9.0,In-House,Not Returned
10138,delivered,2024-08-18 12:09:00,2024-08-29 12:09:00,2024-08-28 12:09:00,1.0,11.0,In-House,Not Returned
10139,delivered,2024-10-18 09:44:00,2024-10-24 09:44:00,2024-10-22 09:44:00,2.0,6.0,In-House,Not Returned
10140,delivered,2024-11-16 16:36:00,2024-11-20 16:36:00,2024-11-19 16:36:00,1.0,4.0,In-House,Not Returned
10141,delivered,2024-03-29 11:31:00,2024-04-06 11:31:00,2024-04-07 11:31:00,0.0,8.0,In-House,Not Returned
10142,delivered,2024-12-18 18:36:00,2024-12-18 18:36:00,2024-12-21 18:36:00,0.0,0.0,In-House,Not Returned
10143,delivered,2024-12-27 13:27:00,2024-12-28 13:27:00,2024-12-30 13:27:00,0.0,1.0,In-House,Not Returned
10144,delivered,2024-05-15 15:02:00,2024-05-19 15:02:00,2024-05-18 15:02:00,1.0,4.0,In-House,Not Returned
10145,delivered,2024-02-28 18:58:00,2024-03-01 18:58:00,2024-03-02 18:58:00,0.0,2.0,In-House,Not Returned
10146,delivered,2024-02-06 09:49:00,2024-02-11 09:49:00,2024-02-10 09:49:00,1.0,5.0,In-House,Not Returned
10147,delivered,2024-03-04 14:56:00,2024-03-10 14:56:00,2024-03-10 14:56:00,0.0,6.0,In-House,Not Returned
10148,delivered,2024-09-13 14:05:00,2024-09-19 14:05:00,2024-09-19 14:05:00,0.0,6.0,In-House,Returned
10149,delivered,2024-06-14 15:56:00,2024-06-23 15:56:00,2024-06-24 15:56:00,0.0,9.0,In-House,Not Returned
10150,delivered,2024-12-10 18:36:00,2024-12-17 18:36:00,2024-12-15 18:36:00,2.0,7.0,In-House,Not Returned
10151,delivered,2024-09-22 12:45:00,2024-10-03 12:45:00,2024-10-02 12:45:00,1.0,11.0,In-House,Not Returned
10152,delivered,2024-11-21 18:16:00,2024-11-25 18:16:00,2024-11-26 18:16:00,0.0,4.0,In-House,Not Returned
10153,delivered,2024-06-19 15:48:00,2024-06-21 15:48:00,2024-06-22 15:48:00,0.0,2.0,In-House,Not Returned
10154,delivered,2024-12-21 15:21:00,2024-12-23 15:21:00,2024-12-24 15:21:00,0.0,2.0,In-House,Not Returned
10155,delivered,2024-02-15 16:05:00,2024-02-24 16:05:00,2024-02-24 16:05:00,0.0,9.0,In-House,Not Returned
10156,delivered,2024-12-02 13:55:00,2024-12-09 13:55:00,2024-12-08 13:55:00,1.0,7.0,In-House,Not Returned
10157,delivered,2024-11-14 16:29:00,2024-11-24 16:29:00,2024-11-21 16:29:00,3.0,10.0,In-House,Not Returned
10158,delivered,2024-05-16 10:01:00,2024-05-26 10:01:00,2024-05-23 10:01:00,3.0,10.0,In-House,Not Returned
10159,delivered,2024-03-03 16:54:00,2024-03-09 16:54:00,2024-03-08 16:54:00,1.0,6.0,In-House,Not Returned
10160,delivered,2024-06-08 12:01:00,2024-06-12 12:01:00,2024-06-13 12:01:00,0.0,4.0,In-House,Not Returned
10161,delivered,2024-02-28 19:12:00,2024-03-12 19:12:00,2024-03-09 19:12:00,3.0,13.0,In-House,Not Returned
10162,delivered,2024-05-29 10:30:00,2024-06-01 10:30:00,2024-06-04 10:30:00,0.0,3.0,In-House,Not Returned
10163,delivered,2024-05-04 11:19:00,2024-05-10 11:19:00,2024-05-11 11:19:00,0.0,6.0,In-House,Not Returned
10164,delivered,2024-02-05 20:57:00,2024-02-13 20:57:00,2024-02-10 20:57:00,3.0,8.0,In-House,Not Returned
10165,delivered,2024-01-02 08:55:00,2024-01-09 08:55:00,2024-01-10 08:55:00,0.0,7.0,In-House,Returned
10166,delivered,2024-08-16 14:06:00,2024-08-19 14:06:00,2024-08-22 14:06:00,0.0,3.0,In-House,Not Returned
10167,delivered,2024-06-13 08:36:00,2024-06-20 08:36:00,2024-06-20 08:36:00,0.0,7.0,In-House,Not Returned
10168,delivered,2024-07-29 08:38:00,2024-07-30 08:38:00,2024-08-02 08:38:00,0.0,1.0,In-House,Not Returned
10169,delivered,2024-12-05 13:25:00,2024-12-09 13:25:00,2024-12-10 13:25:00,0.0,4.0,In-House,Not Returned
10170,cancelled,2024-03-05 09:03:00,,2024-03-08 09:03:00,,,In-House,
10171,delivered,2024-02-21 08:22:00,2024-02-28 08:22:00,2024-02-29 08:22:00,0.0,7.0,In-House,Not Returned
10172,delivered,2024-12-01 20:16:00,2024-12-04 20:16:00,2024-12-05 20:16:00,0.0,3.0,In-House,Not Returned
10173,delivered,2024-11-15 20:24:00,2024-11-17 20:24:00,2024-11-18 20:24:00,0.0,2.0,In-House,Not Returned
10174,delivered,2024-06-11 15:23:00,2024-06-13 15:23:00,2024-06-16 15:23:00,0.0,2.0,In-House,Not Returned
10175,delivered,2024-11-12 16:36:00,2024-11-19 16:36:00,2024-11-18 16:36:00,1.0,7.0,In-House,Not Returned
10176,delivered,2024-02-16 15:01:00,2024-02-24 15:01:00,2024-02-22 15:01:00,2.0,8.0,In-House,Not Returned
10177,cancelled,2024-03-26 19:01:00,,2024-04-05 19:01:00,,,In-House,
10178,delivered,2024-01-29 18:53:00,2024-02-06 18:53:00,2024-02-05 18:53:00,1.0,8.0,In-House,Returned
10179,delivered,2024-09-28 20:09:00,2024-10-08 20:09:00,2024-10-08 20:09:00,0.0,10.0,In-House,Returned
10180,delivered,2024-03-30 15:39:00,2024-04-08 15:39:00,2024-04-08 15:39:00,0.0,9.0,In-House,Not Returned
10181,delivered,2024-10-25 10:17:00,2024-11-02 10:17:00,2024-11-01 10:17:00,1.0,8.0,In-House,Not Returned
10182,delivered,2024-05-10 16:38:00,2024-05-13 16:38:00,2024-05-13 16:38:00,0.0,3.0,In-House,Not Returned
10183,delivered,2024-12-12 18:59:00,2024-12-21 18:59:00,2024-12-20 18:59:00,1.0,9.0,In-House,Not Returned
10184,delivered,2024-11-23 16:23:00,2024-11-29 16:23:00,2024-11-30 16:23:00,0.0,6.0,In-House,Not Returned
10185,delivered,2024-07-15 10:17:00,2024-07-20 10:17:00,2024-07-21 10:17:00,0.0,5.0,In-House,Not Returned
10186,delivered,2024-12-24 18:39:00,2024-12-29 18:39:00,2025-01-01 18:39:00,0.0,5.0,In-House,Not Returned
10187,delivered,2024-01-05 18:33:00,2024-01-10 18:33:00,2024-01-11 18:33:00,0.0,5.0,In-House,Not Returned
10188,delivered,2024-05-26 15:33:00,2024-06-04 15:33:00,2024-06-02 15:33:00,2.0,9.0,In-House,Not Returned
10189,delivered,2024-11-21 15:42:00,2024-11-28 15:42:00,2024-11-28 15:42:00,0.0,7.0,In-House,Returned
10190,delivered,2024-11-17 17:28:00,2024-11-18 17:28:00,2024-11-21 17:28:00,0.0,1.0,In-House,Not Returned
10191,delivered,2024-10-23 15:54:00,2024-10-28 15:54:00,2024-10-28 15:54:00,0.0,5.0,In-House,Not Returned
10192,delivered,2024-07-31 14:03:00,2024-08-09 14:03:00,2024-08-09 14:03:00,0.0,9.0,In-House,Not Returned
10193,delivered,2024-03-25 19:58:00,2024-03-27 19:58:00,2024-03-28 19:58:00,0.0,2.0,In-House,Not Returned
10194,delivered,2024-02-28 13:30:00,2024-03-06 13:30:00,2024-03-06 13:30:00,0.0,7.0,In-House,Not Returned
10195,delivered,2024-10-12 14:13:00,2024-10-20 14:13:00,2024-10-21 14:13:00,0.0,8.0,In-House,Not Returned
10196,delivered,2024-10-01 13:49:00,2024-10-04 13:49:00,2024-10-07 13:49:00,0.0,3.0,In-House,Not Returned
10197,delivered,2024-11-22 09:43:00,2024-11-29 09:43:00,2024-11-27 09:43:00,2.0,7.0,In-House,Not Returned
10198,delivered,2024-11-13 15:39:00,2024-11-24 15:39:00,2024-11-22 15:39:00,2.0,11.0,In-House,Not Returned
10199,delivered,2024-11-21 09:58:00,2024-12-03 09:58:00,2024-11-30 09:58:00,3.0,12.0,In-House,Not Returned
10200,delivered,2024-03-12 20:06:00,2024-03-21 20:06:00,2024-03-20 20:06:00,1.0,9.0,In-House,Not Returned
10201,cancelled,2024-02-19 08:06:00,,2024-02-27 08:06:00,,,In-House,
10202,delivered,2024-07-08 10:11:00,2024-07-14 10:11:00,2024-07-12 10:11:00,2.0,6.0,DHL,Not Returned
10203,delivered,2024-07-31 13:21:00,2024-08-10 13:21:00,2024-08-08 13:21:00,2.0,10.0,In-House,Not Returned
10204,delivered,2024-01-17 20:59:00,2024-01-22 20:59:00,2024-01-25 20:59:00,0.0,5.0,In-House,Not Returned
10205,delivered,2024-07-04 08:52:00,2024-07-16 08:52:00,2024-07-14 08:52:00,2.0,12.0,In-House,Not Returned
10206,delivered,2024-07-22 09:32:00,2024-07-24 09:32:00,2024-07-27 09:32:00,0.0,2.0,In-House,Not Returned
10207,delivered,2024-12-05 08:02:00,2024-12-12 08:02:00,2024-12-12 08:02:00,0.0,7.0,In-House,Returned
10208,delivered,2024-06-19 13:23:00,2024-06-27 13:23:00,2024-06-29 13:23:00,0.0,8.0,In-House,Not Returned
10209,delivered,2024-10-10 10:35:00,2024-10-12 10:35:00,2024-10-14 10:35:00,0.0,2.0,In-House,Not Returned
10210,delivered,2024-11-01 09:35:00,2024-11-07 09:35:00,2024-11-07 09:35:00,0.0,6.0,In-House,Not Returned
10211,delivered,2024-03-30 12:39:00,2024-04-08 12:39:00,2024-04-07 12:39:00,1.0,9.0,In-House,Not Returned
10212,delivered,2024-07-02 12:24:00,2024-07-10 12:24:00,2024-07-12 12:24:00,0.0,8.0,UPS,Not Returned
10213,delivered,2024-03-30 15:57:00,2024-04-09 15:57:00,2024-04-06 15:57:00,3.0,10.0,In-House,Not Returned
10214,delivered,2024-02-02 09:57:00,2024-02-09 09:57:00,2024-02-12 09:57:00,0.0,7.0,In-House,Not Returned
10215,delivered,2024-08-19 12:25:00,2024-08-25 12:25:00,2024-08-26 12:25:00,0.0,6.0,UPS,Not Returned
10216,delivered,2024-08-22 19:01:00,2024-08-31 19:01:00,2024-08-31 19:01:00,0.0,9.0,In-House,Returned
10217,delivered,2024-08-06 12:29:00,2024-08-12 12:29:00,2024-08-09 12:29:00,3.0,6.0,In-House,Not Returned
10218,delivered,2024-02-11 14:18:00,2024-02-20 14:18:00,2024-02-19 14:18:00,1.0,9.0,In-House,Not Returned
10219,delivered,2024-11-15 17:35:00,2024-11-21 17:35:00,2024-11-22 17:35:00,0.0,6.0,In-House,Not Returned
10220,delivered,2024-11-01 11:05:00,2024-11-11 11:05:00,2024-11-08 11:05:00,3.0,10.0,In-House,Not Returned
